500 EPISODES, 0.05 REWARDS, 1000 STEPS, 1 TRAINING PER EPISODE, 20 EPISODES SCORES MEAN

Episodes: 398, gamma: 0.95, epsilon_dec: 0.9, lr: 0.001, batch: 64, tau:0.05
Episodes: 197, gamma: 0.95, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.1
Episodes: 461, gamma: 0.95, epsilon_dec: 0.99, lr: 0.001, batch: 128, tau:0.05
Episodes: 411, gamma: 0.95, epsilon_dec: 0.99, lr: 0.005, batch: 64, tau:0.05
Episodes: 308, gamma: 0.95, epsilon_dec: 0.99, lr: 0.005, batch: 64, tau:0.1
Episodes: 204, gamma: 0.95, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.05
Episodes: 351, gamma: 0.95, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.1
Episodes: 312, gamma: 0.95, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.2
Episodes: 425, gamma: 0.99, epsilon_dec: 0.9, lr: 0.001, batch: 64, tau:0.05
Episodes: 339, gamma: 0.99, epsilon_dec: 0.9, lr: 0.001, batch: 128, tau:0.1
Episodes: 161, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.1
Episodes: 408, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.2
Episodes: 447, gamma: 0.99, epsilon_dec: 0.99, lr: 0.001, batch: 128, tau:0.05
Episodes: 335, gamma: 0.99, epsilon_dec: 0.99, lr: 0.001, batch: 128, tau:0.1
Episodes: 370, gamma: 0.99, epsilon_dec: 0.99, lr: 0.005, batch: 64, tau:0.05
Episodes: 337, gamma: 0.99, epsilon_dec: 0.99, lr: 0.005, batch: 64, tau:0.2
Episodes: 252, gamma: 0.99, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.05
Episodes: 296, gamma: 0.99, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.1
Episodes: 238, gamma: 0.999, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.05
Episodes: 135, gamma: 0.999, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.2
Episodes: 327, gamma: 0.999, epsilon_dec: 0.9, lr: 0.005, batch: 128, tau:0.05
Episodes: 119, gamma: 0.999, epsilon_dec: 0.9, lr: 0.005, batch: 128, tau:0.1
Episodes: 419, gamma: 0.999, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.05
Episodes: 111, gamma: 0.999, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.1
Episodes: 265, gamma: 0.999, epsilon_dec: 0.99, lr: 0.005, batch: 128, tau:0.2

300 EPISODES, 0.1 REWARDS, 500 STEPS, 2 TRAINING PER EPISODE, 1 SOFT UPDATE PER EPISODE, 15 EPISODES SCORES MEAN

Episodes: 170, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.05
Episodes: 92, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.1
Episodes: 98, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.05
Episodes: 79, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.1
Episodes: 183, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 64, tau:0.05
Episodes: 158, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 64, tau:0.1
Episodes: 221, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.05

300 EPISODES, REWARD EVERY 10 POINS CON 0.1 TB, 500 STEPS, 2 TRAINING PER EPISODE, 1 SOFT UPDATE PER EPISODE, 15 EPISODES SCORES MEAN

Episodes: 69, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.05
Episodes: 169, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.1
Episodes: 284, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 128, tau:0.05
Episodes: 190, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 128, tau:0.1
Episodes: 102, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.05
Episodes: 235, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.1
Episodes: 127, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.05
Episodes: 135, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.1
Episodes: 221, gamma: 0.99, epsilon_dec: 0.97, lr: 0.001, batch: 64, tau:0.05
Episodes: 167, gamma: 0.99, epsilon_dec: 0.97, lr: 0.001, batch: 64, tau:0.1

